OBJECTID,ADM0_NAME,DateOfDataEntry,cum_conf,NewCase,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,GUID,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
1,Afghanistan,2020-02-25T00:00:00.000Z,1,1,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
2,Afghanistan,2020-02-26T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
3,Afghanistan,2020-02-27T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
4,Afghanistan,2020-02-28T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
5,Afghanistan,2020-02-29T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
6,Afghanistan,2020-03-01T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
7,Afghanistan,2020-03-02T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
8,Afghanistan,2020-03-03T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
9,Afghanistan,2020-03-04T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
10,Afghanistan,2020-03-05T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
11,Afghanistan,2020-03-06T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
12,Afghanistan,2020-03-07T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
13,Afghanistan,2020-03-08T00:00:00.000Z,4,3,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
14,Afghanistan,2020-03-09T00:00:00.000Z,4,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
15,Afghanistan,2020-03-10T00:00:00.000Z,4,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
16,Afghanistan,2020-03-11T00:00:00.000Z,4,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
17,Afghanistan,2020-03-12T00:00:00.000Z,7,3,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
18,Afghanistan,2020-03-13T00:00:00.000Z,7,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
19,Afghanistan,2020-03-14T00:00:00.000Z,7,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
20,Afghanistan,2020-03-15T00:00:00.000Z,10,3,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
21,Afghanistan,2020-03-16T00:00:00.000Z,16,6,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
22,Afghanistan,2020-03-17T00:00:00.000Z,21,5,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
23,Afghanistan,2020-03-18T00:00:00.000Z,22,1,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
24,Afghanistan,2020-03-19T00:00:00.000Z,22,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
25,Afghanistan,2020-03-20T00:00:00.000Z,22,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
26,Afghanistan,2020-03-21T00:00:00.000Z,24,2,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
27,Afghanistan,2020-03-22T00:00:00.000Z,24,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
28,Afghanistan,2020-03-23T00:00:00.000Z,40,16,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
29,Afghanistan,2020-03-24T00:00:00.000Z,42,2,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
30,Afghanistan,2020-03-25T00:00:00.000Z,74,32,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
31,Afghanistan,2020-03-26T00:00:00.000Z,80,6,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
32,Afghanistan,2020-03-27T00:00:00.000Z,80,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
33,Afghanistan,2020-03-28T00:00:00.000Z,106,26,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
34,Afghanistan,2020-03-29T00:00:00.000Z,114,8,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
35,Afghanistan,2020-03-30T00:00:00.000Z,114,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
36,Afghanistan,2020-03-31T00:00:00.000Z,166,52,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
37,Afghanistan,2020-04-01T00:00:00.000Z,192,26,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
38,Afghanistan,2020-04-02T00:00:00.000Z,235,43,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
39,Afghanistan,2020-04-03T00:00:00.000Z,269,34,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
40,Afghanistan,2020-04-04T00:00:00.000Z,270,1,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
41,Afghanistan,2020-04-05T00:00:00.000Z,299,29,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
42,Afghanistan,2020-04-06T00:00:00.000Z,337,38,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
43,Afghanistan,2020-04-07T00:00:00.000Z,367,30,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
44,Afghanistan,2020-04-08T00:00:00.000Z,423,56,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
45,Afghanistan,2020-04-09T00:00:00.000Z,444,21,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
46,Afghanistan,2020-04-10T00:00:00.000Z,521,77,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
47,Afghanistan,2020-04-11T00:00:00.000Z,521,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
48,Afghanistan,2020-04-12T00:00:00.000Z,555,34,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
49,Albania,2020-03-09T00:00:00.000Z,2,2,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
50,Albania,2020-03-10T00:00:00.000Z,2,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
51,Albania,2020-03-11T00:00:00.000Z,10,8,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
52,Albania,2020-03-12T00:00:00.000Z,10,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
53,Albania,2020-03-13T00:00:00.000Z,23,13,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
54,Albania,2020-03-14T00:00:00.000Z,33,10,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
55,Albania,2020-03-15T00:00:00.000Z,38,5,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
56,Albania,2020-03-16T00:00:00.000Z,42,4,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
57,Albania,2020-03-17T00:00:00.000Z,51,9,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
58,Albania,2020-03-18T00:00:00.000Z,55,4,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
59,Albania,2020-03-19T00:00:00.000Z,59,4,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
60,Albania,2020-03-20T00:00:00.000Z,70,11,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
61,Albania,2020-03-21T00:00:00.000Z,70,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
62,Albania,2020-03-22T00:00:00.000Z,76,6,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
63,Albania,2020-03-23T00:00:00.000Z,89,13,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
64,Albania,2020-03-24T00:00:00.000Z,123,34,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
65,Albania,2020-03-25T00:00:00.000Z,146,23,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
66,Albania,2020-03-26T00:00:00.000Z,174,28,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
67,Albania,2020-03-27T00:00:00.000Z,186,12,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
68,Albania,2020-03-28T00:00:00.000Z,197,11,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
69,Albania,2020-03-29T00:00:00.000Z,212,15,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
70,Albania,2020-03-30T00:00:00.000Z,223,11,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
71,Albania,2020-03-31T00:00:00.000Z,223,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
72,Albania,2020-04-01T00:00:00.000Z,243,20,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
73,Albania,2020-04-02T00:00:00.000Z,277,34,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
74,Albania,2020-04-03T00:00:00.000Z,277,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
75,Albania,2020-04-04T00:00:00.000Z,333,56,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
76,Albania,2020-04-05T00:00:00.000Z,333,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
77,Albania,2020-04-06T00:00:00.000Z,377,44,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
78,Albania,2020-04-07T00:00:00.000Z,377,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
79,Albania,2020-04-08T00:00:00.000Z,400,23,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
80,Albania,2020-04-09T00:00:00.000Z,409,9,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
81,Albania,2020-04-10T00:00:00.000Z,416,7,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
82,Albania,2020-04-11T00:00:00.000Z,416,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
83,Albania,2020-04-12T00:00:00.000Z,446,30,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
84,Algeria,2020-02-26T00:00:00.000Z,1,1,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
85,Algeria,2020-02-27T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
86,Algeria,2020-02-28T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
87,Algeria,2020-02-29T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
88,Algeria,2020-03-01T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
89,Algeria,2020-03-02T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
90,Algeria,2020-03-03T00:00:00.000Z,5,4,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
91,Algeria,2020-03-04T00:00:00.000Z,5,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
92,Algeria,2020-03-05T00:00:00.000Z,12,7,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
93,Algeria,2020-03-06T00:00:00.000Z,12,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
94,Algeria,2020-03-07T00:00:00.000Z,17,5,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
95,Algeria,2020-03-08T00:00:00.000Z,17,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
96,Algeria,2020-03-09T00:00:00.000Z,20,3,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
97,Algeria,2020-03-10T00:00:00.000Z,20,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
98,Algeria,2020-03-11T00:00:00.000Z,20,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
99,Algeria,2020-03-12T00:00:00.000Z,25,5,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
100,Algeria,2020-03-13T00:00:00.000Z,25,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
101,Algeria,2020-03-14T00:00:00.000Z,26,1,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
102,Algeria,2020-03-15T00:00:00.000Z,37,11,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
103,Algeria,2020-03-16T00:00:00.000Z,49,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
104,Algeria,2020-03-17T00:00:00.000Z,60,11,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
105,Algeria,2020-03-18T00:00:00.000Z,60,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
106,Algeria,2020-03-19T00:00:00.000Z,72,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
107,Algeria,2020-03-20T00:00:00.000Z,82,10,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
108,Algeria,2020-03-21T00:00:00.000Z,94,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
109,Algeria,2020-03-22T00:00:00.000Z,94,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
110,Algeria,2020-03-23T00:00:00.000Z,201,107,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
111,Algeria,2020-03-24T00:00:00.000Z,231,30,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
112,Algeria,2020-03-25T00:00:00.000Z,264,33,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
113,Algeria,2020-03-26T00:00:00.000Z,264,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
114,Algeria,2020-03-27T00:00:00.000Z,305,41,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
115,Algeria,2020-03-28T00:00:00.000Z,367,62,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
116,Algeria,2020-03-29T00:00:00.000Z,409,42,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
117,Algeria,2020-03-30T00:00:00.000Z,454,45,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
118,Algeria,2020-03-31T00:00:00.000Z,511,57,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
119,Algeria,2020-04-01T00:00:00.000Z,584,73,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
120,Algeria,2020-04-02T00:00:00.000Z,847,263,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
121,Algeria,2020-04-03T00:00:00.000Z,986,139,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
122,Algeria,2020-04-04T00:00:00.000Z,986,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
123,Algeria,2020-04-05T00:00:00.000Z,1251,265,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
124,Algeria,2020-04-06T00:00:00.000Z,1251,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
125,Algeria,2020-04-07T00:00:00.000Z,1423,172,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
126,Algeria,2020-04-08T00:00:00.000Z,1468,45,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
127,Algeria,2020-04-09T00:00:00.000Z,1572,104,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
128,Algeria,2020-04-10T00:00:00.000Z,1666,94,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
129,Algeria,2020-04-11T00:00:00.000Z,1761,95,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
130,Algeria,2020-04-12T00:00:00.000Z,1825,64,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
131,Andorra,2020-03-03T00:00:00.000Z,1,1,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
132,Andorra,2020-03-04T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
